Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm),Event Type
669.3,0.0,0.0,1
877.04,182.8,0.0,1
541.08,0.0,0.0,1
146.19,0.0,0.0,0
835.08,161.46,142.19,1
754.07,0.0,0.0,1
269.87,0.0,0.0,0
85.88,0.0,0.0,0
259.65,0.0,0.0,0
606.11,316.05,147.93,1
510.53,0.0,0.0,1
481.38,0.0,0.0,1
90.51,0.0,0.0,0
55.15,0.0,0.0,0
772.72,0.0,0.0,1
222.19,115.77,0.0,1
103.36,0.0,0.0,0
998.25,0.0,0.0,0
89.63,0.0,0.0,0
785.32,0.0,0.0,1
480.58,0.0,0.0,1
351.55,93.14,0.0,0
559.75,0.0,0.0,1
372.26,179.94,0.0,1
246.54,215.03,189.94,0
289.32,0.0,0.0,1
700.64,0.0,0.0,1
1050.45,0.0,0.0,1
133.01,0.0,0.0,0
61.87,0.0,0.0,0
123.75,0.0,0.0,0
134.21,0.0,0.0,0
645.65,0.0,0.0,1
843.3,160.88,0.0,1
825.78,0.0,0.0,1
350.69,165.46,0.0,1
823.35,0.0,0.0,1
245.14,0.0,0.0,1
79.86,0.0,0.0,0
451.72,0.0,0.0,1
224.24,82.9,0.0,0
285.29,135.88,0.0,1
499.15,0.0,0.0,0
69.31,0.0,0.0,0
996.55,0.0,0.0,1
257.88,0.0,0.0,0
493.0,0.0,0.0,1
50.81,0.0,0.0,0
252.41,207.37,0.0,1
385.38,0.0,0.0,0
513.32,274.09,0.0,1
91.32,0.0,0.0,0
162.82,0.0,0.0,0
140.33,0.0,0.0,0
265.96,166.34,0.0,1
522.17,0.0,0.0,1
427.27,0.0,0.0,0
619.65,0.0,0.0,1
100.72,0.0,0.0,0
171.91,0.0,0.0,0
208.9,0.0,0.0,0
677.9,0.0,0.0,1
241.28,193.56,0.0,1
472.45,0.0,0.0,1
444.29,0.0,0.0,1
742.35,0.0,0.0,1
195.93,116.07,0.0,0
336.42,0.0,0.0,1
253.97,212.6,159.62,0
118.3,0.0,0.0,0
203.7,199.63,199.63,1
505.22,134.2,0.0,1
370.75,114.01,0.0,1
887.18,228.93,0.0,1
763.47,0.0,0.0,1
171.1,0.0,0.0,1
104.04,0.0,0.0,0
640.93,0.0,0.0,1
326.35,0.0,0.0,1
