Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
1,99.49,0,0
2,343.63,227.86,167.31
3,1132.58,75.03,0
4,350.23,261.42,240.75
5,107.44,0,0
6,98.04,0,0
7,291.42,0,0
8,150.18,0,0
9,824.79,0,0
10,184.01,0,0
11,402.94,0,0
12,138.49,81.76,0
13,218.54,207.17,147.18
14,654.79,0,0
15,599.25,0,0
16,351.47,290.51,179.21
17,188.7,0,0
18,158.35,62.69,0
19,53.46,0,0
20,106.97,0,0
21,542.84,211.07,102.76
22,105.67,54.32,0
23,338.76,55.33,0
24,772.33,0,0
25,124.18,0,0
26,151.35,139.91,0
27,846.12,0,0
28,474.38,0,0
29,371.36,0,0
30,174.13,0,0
31,543.72,0,0
32,648.85,0,0
33,358.95,0,0
34,713.26,70.3,0
35,607.61,0,0
36,930.41,0,0
37,212.71,163.54,0
38,195.18,101.67,0
39,145.06,0,0
40,352.67,0,0
41,118.39,0,0
42,539.86,82.07,0
43,377.57,374.23,308.83
44,983.9,110.22,0
45,539.52,444.85,426.68
46,1027.33,0,0
47,655.46,0,0
48,460.26,295.74,294.97
49,97.22,0,0
50,383.28,0,0
51,398.86,0,0
52,1073.76,0,0
53,685.98,0,0
54,297.75,0,0
55,476.72,379.5,146.38
56,585.96,0,0
57,283.73,72.98,0
58,567.51,0,0
59,442.54,160.01,88.94
60,83.49,0,0
61,323.81,196.8,119.93
62,114.54,106.54,0
63,110.22,0,0
64,405.15,0,0
65,168.36,90.32,0
66,418.72,76.28,0
67,305.16,0,0
68,403.75,0,0
69,299.51,0,0
70,270.43,76.4,0
71,566.33,0,0
72,603.36,0,0
73,305.13,0,0
74,202.24,154.28,0
75,139.84,0,0
76,296.87,251.68,202.26
77,564.75,0,0
78,272.16,0,0
79,112.1,67.09,0
80,730.08,0,0
81,126.88,0,0
82,119.08,0,0
83,315.02,81.05,0
84,167.52,0,0
85,361.79,341.17,314.23
86,446.47,0,0
87,649.81,0,0
88,128.88,0,0
89,691.91,0,0
90,381.41,0,0
91,415.16,61.67,0
92,174.01,0,0
93,163.42,0,0
94,140.9,0,0
95,462.7,0,0
96,485.11,0,0
97,679.05,74.8,0
98,703.28,0,0
99,700.57,0,0
100,489.11,0,0
101,94.59,0,0
102,208.14,156.54,0
103,545.7,0,0
104,377.49,83.34,0
105,316.58,126.22,0
106,292.88,132.33,0
107,626.94,0,0
